num_followers,num_stars,forks,num_followings,username,num_repositories,stars_received
19,72,10,25,yugrocks,35,59
0,0,0,1,ehd223,7,0
1200,357,4,60600,mstraughan86,19,29
8,0,0,584,milindmalshe,0,0
6,45,2,30,ng29,12,12
0,1,0,2,sunnyfixer3941,4,0
2,73,2,15,vinzeebreak,4,6
22,14,1,10,Aviral190694,16,2
726,40,138,42,ayushoriginal,23,561
1200,54,12,160000,dalinhuang99,17,69
5,54,0,7,Puneetmeena,9,24
18,38,6,19,priyaSin,15,46
3500,5,986,3,goodfeli,18,2270
21,48,2,28,manan904,19,18
62200,2,19058,0,torvalds,4,51188
29,13,82,10,asingh33,9,263
2,62,0,1,samimoftheworld,13,2
40,1400,16,17,GIANTCRAB,16,51
6,15,1,8,jain-ruchi,11,0
16,23,12,24,rajujha373,30,40
15,59,1,30,ttanay,15,28
185,19,10,11,audreylim,30,201
6,3,3,7,lcukerd,10,23
11,4,3,13,Rahularity21,23,23
4,3,0,19,amarpreet2209,25,25
3,1,0,3,tarun0812,1,0
63,71,17,50,sammyfung,36,58
78,5200,2,3500,gauravssnl,106,22
713,16,78,6,tanmayb123,65,120
11,40,0,37,Shraddha2702,36,2
866,3700,366,1000,nikitavoloboev,56,9481
9500,16,2478,4,llSourcell,222,4185
249,552,59,84,manojpandey,122,97
66,178,23,34,deepakpathania,75,67
853,660,2182,179,keon,39,15039
12600,103,4175,21,buckyroberts,34,3855
1200,1900,14,36300,nfultz,55,26
183,104,174,0,baijum,235,373
422,624,443,10,VikParuchuri,63,1229
8,41,0,22,caodj,9,1
15,850,0,17,windbg,16,0
27,1200,0,299,avinvarghese,8,1
11,62,5,10,todd-dsm,26,5
29,116,0,225,dechinkey,17,0
19,67,1,62,okbm,27,2
6,9,0,26,kkrws,1,0
9,3,0,11,incrmos,0,0
6,0,0,18,shuhei-ohkawa,4,0
57,1000,0,295,adilwali,7,0
4,7,0,14,Sakioon,5,0
10,22,0,13,shusen,5,0
6,10,0,3,nanoeru,10,6
7,169,6,22,ToruIwashita,19,14
16,390,0,21,lincolnlee,19,6
5,3,0,13,xqruiyou,4,0
513,4,0,3400,Eclipse456,10,7
1,2,0,2,Akshaysehgal2005,7,0
16,52,0,169,caipanliang,4,0
12,0,0,106,SaadiaIftikhar,17,0
6,10,0,3,kuraku,4,4
5,27,0,4,kadzuya,2,0
6,1,0,19,globalcredits,1,0
7,204,0,28,aki-s,6,0
35,473,2,53,DandyMania,10,30
25,185,0,124,mfreeman59,9,1
13,170,2,62,koara-local,20,4
19,11,0,36,Vinihcampos,24,2
27,1,0,658,jankoboz,28,0
185,328,0,1600,rftHusn,1,0
26,686,11,71,lachlan,29,10
4,59,1,70,GuestKiller,6,0
3,4,2,12,LiQiyao,7,9
9,5,0,19,GRX78FL,5,5
25,10,0,74,saulojmc,16,1
1,0,0,58,phonecableinternetbundle,3,0
229,0,1,1200,freire45,15,3
7,8,1,8,tumbudu,11,2
23,118,0,215,marshallch,4,0
72,172,0,915,Neustradamus,0,0
16,329,0,201,guiyang,12,0
5,2,0,16,sabq-ads,2,1
55,91,25,17,taylorchu,16,247
15,1200,6,37,cgwxyz,23,12
9,18,0,32,ugitch,24,0
37,185,0,62,aeke,6,2
59,70,39,183,cgivre,30,74
6,3,0,27,mizusu,6,0
8,155,0,34,steppannws,17,1
8,90,0,19,Tunderwood93,3,0
11,16,0,25,OgliariNatan,16,0
5,2,0,15,chulado,5,1
36,275,0,117,lsgoulart,24,6
5,1,2,0,dataplayer12,9,3
45,26,12,18,code-terminator,7,146
15,15,0,44,marcelomiky,8,0
32,113,8,0,giorgiop,14,20
16,81,7,25,thesemicolonguy,18,9
7,0,3,18,qdraw,12,5
11,10,0,37,hassanhibbert,21,6
3,2,0,4,tmanikanta64,11,0
17,16,0,16,metas-mk,5,0
25,125,16,36,ryanrahman26,8,7
9,0,4,13,newbiepub,19,0
6,76,4,27,SenitCo,27,2
6,3,0,10,nirjharlo,4,0
14,47,0,18,HelloWorldDxw,0,0
